Temperature (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),NDVI,Wind Speed (m/s),Water Stress Level
34.01593730804625,99.98388591465005,36.228221793096296,409.3701147420254,1.2298903115120774,8.151527966945391,Low
21.13012364525941,88.11584207281922,49.62105148669843,491.7836032568315,0.5003798506884917,24.4786736824562,High
43.293030256668175,66.49075924800435,22.427254611741834,129.835419475207,1.3575142897182633,11.349468214957785,Moderate
43.71216819959025,48.82658055736066,17.730467383529284,484.86181639898854,0.4493638440684089,2.6519090144027513,High
25.214035657548184,82.45558284033974,-3.6184457959435177,215.61693489577894,-0.2156883375360218,10.266765743367136,High
35.603332072728605,74.83713463554373,41.27824478291197,173.75939765687733,0.8082564456609074,29.441500027238405,Low
39.580895487327766,87.3798305006933,38.21153793119575,25.17476348467662,0.38492111305300275,18.890507857776086,Moderate
32.04641172136924,80.87929504204924,22.34321157157515,26.38262892980131,0.8911446289428627,12.484828392184733,Moderate
19.82415451630765,91.23881788298338,61.01717555416278,346.00562797332736,0.13389763632374266,4.9961554049181,Low
35.08624352736224,51.6191197109858,67.67240173934424,228.96449721701396,0.29578935623449476,29.585303918510842,Moderate
27.523981220063362,97.93485164085814,6.647087135147035,113.26081301805286,0.2530508304534965,24.625470277893864,High
29.0410798048866,69.93999011730999,32.434898561038445,306.9851531626163,1.1523057546371924,8.444319073527582,Moderate
45.279599303135186,116.88152181563163,27.12078257067166,126.42905912505559,0.9317736929163022,2.1020608716356834,Moderate
-0.3799647175817995,47.7703045477608,21.653479787860707,288.8158771722113,1.124056621459559,1.698766721326741,Moderate
15.794499620491758,108.39909507913123,62.93530593840472,179.60437349134517,1.0900155144323689,3.611344485166015,High
21.591471844729117,69.9477695865662,36.629241562209344,411.7761133059095,0.9567763835576004,17.42305750843265,Low
16.939613052211893,48.71454990963879,49.114381413472124,410.34808038338963,1.178872004755602,27.862902636164772,Low
30.043612684683346,52.902854148641964,-10.146125455696984,238.67519906120066,0.39790982160906857,14.902302840179534,High
16.375910890748024,56.991317295142,49.1021643105404,175.4095546675078,0.26196271524457315,25.288364473685913,Low
24.29958715966434,75.60414866004791,14.329199824252898,181.27989827954727,0.12127499942632647,13.376598595794235,High
48.86797432428505,78.07088720088748,44.2748214385325,402.85726283410895,0.3646564413173264,21.257506373034758,Low
27.858216887921518,50.65749990153552,54.42326216888546,164.089741398806,0.5482274522818695,21.956182118595024,Low
37.43036080931424,64.39113519347544,67.04238194611993,104.52968685342302,0.49527490385231593,5.21891117710016,Low
8.189873311371056,118.5567589652966,3.8679844710743083,42.344170937653416,0.3381933919692264,10.836481769274354,High
17.902647098093546,108.18857925251778,-14.492645841231477,233.3465604422042,0.8538670375175156,19.11906469614072,High
20.219387236125222,75.9080917418508,48.96170225806765,241.06604945992095,0.5007637147551104,2.1208982455309853,Low
